timestamp,model,old_pk,new_pk,action,name,status,error
2025-05-03T15:46:08.259279,Sale,1,2884,CREATE,83,SUCCESS,
2025-05-03T15:46:09.884357,Sale,2,2885,CREATE,86,SUCCESS,
2025-05-03T15:46:11.525050,Sale,3,2886,CREATE,16,SUCCESS,
2025-05-03T15:46:13.212689,Sale,4,2887,CREATE,101,SUCCESS,
2025-05-03T15:46:14.868939,Sale,5,2888,CREATE,103,SUCCESS,
2025-05-03T15:46:16.493937,Sale,6,2889,CREATE,104,SUCCESS,
2025-05-03T15:46:18.106011,Sale,7,2890,CREATE,105,SUCCESS,
2025-05-03T15:46:19.762260,Sale,8,2891,CREATE,107,SUCCESS,
2025-05-03T15:46:21.434135,Sale,9,2892,CREATE,110,SUCCESS,
2025-05-03T15:46:23.027883,Sale,10,2893,CREATE,117,SUCCESS,
2025-05-03T15:46:24.731008,Sale,11,2894,CREATE,118,SUCCESS,
2025-05-03T15:46:26.387257,Sale,12,2895,CREATE,119,SUCCESS,
2025-05-03T15:46:28.199756,Sale,13,2896,CREATE,120,SUCCESS,
2025-05-03T15:46:29.902881,Sale,14,2897,CREATE,121,SUCCESS,
2025-05-03T15:46:31.840381,Sale,15,2898,CREATE,122,SUCCESS,
2025-05-03T15:46:33.855931,Sale,16,2899,CREATE,123,SUCCESS,
2025-05-03T15:46:35.652878,Sale,17,2900,CREATE,124,SUCCESS,
2025-05-03T15:46:37.387196,Sale,18,2901,CREATE,125,SUCCESS,
2025-05-03T15:46:39.027877,Sale,19,2902,CREATE,127,SUCCESS,
2025-05-03T15:46:40.731071,Sale,20,2903,CREATE,128,SUCCESS,
2025-05-03T15:46:42.403016,Sale,21,2904,CREATE,130,SUCCESS,
2025-05-03T15:46:44.106140,Sale,22,2905,CREATE,136,SUCCESS,
2025-05-03T15:46:45.934265,Sale,23,2906,CREATE,137,SUCCESS,
2025-05-03T15:46:47.637393,Sale,24,2907,CREATE,138,SUCCESS,
2025-05-03T15:46:49.387526,Sale,25,2908,CREATE,139,SUCCESS,
2025-05-03T15:46:51.121972,Sale,26,2909,CREATE,150,SUCCESS,
2025-05-03T15:46:52.793847,Sale,27,2910,CREATE,151,SUCCESS,
2025-05-03T15:46:54.606438,Sale,28,2911,CREATE,152,SUCCESS,
2025-05-03T15:46:56.622110,Sale,29,2912,CREATE,153,SUCCESS,
2025-05-03T15:46:58.309609,Sale,30,2913,CREATE,154,SUCCESS,
2025-05-03T15:47:00.022977,Sale,31,2914,CREATE,155,SUCCESS,
2025-05-03T15:47:01.851171,Sale,32,2915,CREATE,156,SUCCESS,
